date,ticker,embed_pca16_00,embed_pca16_01,embed_pca16_02,embed_pca16_03,embed_pca16_04,embed_pca16_05,embed_pca16_06,embed_pca16_07,embed_pca16_08,embed_pca16_09,embed_pca16_10,embed_pca16_11,embed_pca16_12,embed_pca16_13,embed_pca16_14,embed_pca16_15
2025-09-11,MSFT,0.080565475,0.04200958,-0.15180463,-0.035760533,-0.17049852,0.07182003,0.075136766,0.2448445,-0.18798193,0.013021897,-0.023089694,0.119118355,-0.13615696,0.20998749,0.035020493,-0.04131875
2025-09-12,MSFT,0.3154944,0.024174271,-0.11637375,-0.16380374,-0.15242036,0.069822796,0.022838827,0.39487052,-0.11500208,-0.15075931,-0.112108074,0.065295875,-0.07493994,0.022391452,0.033616103,0.05645085
2025-09-12,MSFT,0.18075413,0.15991326,-0.12304632,-0.07679829,-0.056923132,0.039018214,0.04505565,0.31530616,-0.044804662,-0.020016097,-0.2318747,0.090163864,-0.029768502,-0.18371588,-0.016744016,-0.020554772
2025-09-12,MSFT,0.19593517,0.3042229,-0.07220859,-0.096165024,-0.042903367,0.012696137,0.060993493,0.15007718,0.023725249,-0.014790093,-0.33271804,-0.013043532,0.02075383,-0.13597538,-0.0942484,-0.10736778
2025-09-16,MSFT,0.30695444,0.29055926,-0.29167503,-0.24436116,-0.20181316,-0.019625349,-0.07918237,0.08562609,-0.22338985,0.12053676,-0.07050261,0.06088855,0.10548156,-0.025647162,0.080640234,-0.01218305
2025-09-17,MSFT,0.21099481,0.0035025917,-0.1482146,-0.15704702,-0.13293657,0.028033527,0.039127897,0.38837412,-0.25374445,0.037946578,0.035458636,0.062603764,-0.110524066,0.03604231,-0.07047134,-0.023877162
2025-09-18,MSFT,0.2867022,0.25284407,-0.24074113,-0.27435568,-0.24275278,-0.04437911,-0.13128611,0.023275873,-0.26493603,0.13510239,-0.01360139,0.096210085,0.1415919,-0.07152338,0.111610554,-0.016266134
2025-09-18,MSFT,0.24520303,0.31574664,-0.27420756,-0.13154194,-0.19219108,-0.0669007,-0.07546093,0.022898028,-0.08690283,0.067946054,0.05760817,-0.0041949353,-0.031964168,-0.118177004,0.18609826,0.07122127
2025-09-18,MSFT,0.24786144,0.13271908,-0.14907767,-0.20823003,-0.060405847,-0.031362124,-0.1664772,0.34475645,-0.16061004,-0.037040275,-0.08977011,-0.025508279,0.029758355,-0.010660189,-0.09150966,-0.12183724
2025-09-18,MSFT,0.5147631,0.14005797,-0.20815127,-0.2611259,-0.18469346,0.00029192082,-0.14061116,0.16516538,-0.104188986,-0.06366972,0.02188147,0.0910384,0.12344708,0.06208545,-0.09495508,-0.0036913261
